creator_clean,gender,birth_year,match_status
Parádi Tamás,unknown,,not_found
Kónya Kálmán és Zeitler Gusztáv,unknown,,not_found
Paksy József,unknown,,not_found
Dobroszláv Lajos,unknown,,not_found
Ilon Gábor,unknown,,not_found
Babos László,unknown,,not_found
Csavlek András,unknown,,not_found
Czeizing Lajos,unknown,,not_found
Tuka László,unknown,,not_found
Kertész Sándor,unknown,,not_found
Szepsi Szűcs Levente,unknown,,not_found
Cs Nagy András,unknown,,not_found
Kartschmaroff Lóránd,unknown,,not_found
Drozsnyik István,unknown,,not_found
Szűcs Pál,unknown,,not_found
Végh András,unknown,,not_found
Kóka Ferenc,unknown,,not_found
Bor István,unknown,,not_found
Fóth Ernő,unknown,,not_found
Éva Molnár,female,1927,matched
F. Zenner,unknown,,not_found
Nagy Ágnes,unknown,,not_found
Gádor Emil,male,1911,matched
Tulok Ferenc,unknown,,not_found
Koncz József,unknown,,not_found
Mr. András Fodor,unknown,,not_found
Kertészfi Ágnes,unknown,,not_found
Karkus István,unknown,,not_found
Szelényi Károly,unknown,,not_found
Gál Dezső,unknown,,not_found
Csiby Mihály,unknown,,not_found
Réti Zoltán,unknown,,not_found
Z.Soós István,unknown,,not_found
Csiky A.,unknown,,not_found
Szekeres Emil,unknown,,not_found
Lukasz Melchion,unknown,,not_found
Völgyi Dezső,unknown,,not_found
Dobos Lajos,unknown,,not_found
"Goethe, Johann Wolfgang von",male,1749,matched
Dr. Csalog József,unknown,,not_found
Stettner Béla,unknown,,not_found
Szelényi László,unknown,,not_found
Cservenka György,unknown,,not_found
Zsignár istván,unknown,,not_found
Cziráki Lajos,unknown,,not_found
Alexander Kabanov,male,1948,matched
Tomory Aladár,unknown,,not_found
Orosz János,male,1932,matched
Drahos István,unknown,,not_found
Gábriel József,unknown,,not_found
Jancsikity József,unknown,,not_found
Fischer Ernő,unknown,,not_found
Szentgyörgyi József,unknown,,not_found
Ifj. Benedek Jenő,unknown,,not_found
Horvay KAK Archivum,unknown,,not_found
Szikra János,unknown,,not_found
Mudrák Attila,unknown,,not_found
Ungvári Károly,unknown,,not_found
Kiss Ilona,unknown,,not_found
Kovács Tamás Vilmos,unknown,,not_found
Tamás Ervin,unknown,,not_found
Püspöky István,unknown,,not_found
Óvári László,unknown,,not_found
Széll Károly,unknown,,not_found
Bényi László,unknown,,not_found
Bánovszky Miklós,unknown,,not_found
Bartha László,unknown,,not_found
Benedek György,unknown,,not_found
Aknay János,unknown,,not_found
Dr. Domonkos Ottó,unknown,,not_found
Bozóki Mária,unknown,,not_found
Tamás Noémi,unknown,,not_found
Horvay József,unknown,,not_found
Nándor Katalin,unknown,,not_found
Eigel István,unknown,,not_found
V. Fyman,unknown,,not_found
Vörös András,unknown,,not_found
Kerekes József,unknown,,not_found
Bene Géza,unknown,,not_found
Veres S. László,unknown,,not_found
Marosvári György,unknown,,not_found
Fehér László,unknown,,not_found
Wallner Jenő,unknown,,not_found
Schiller Corvina Archivum,unknown,,not_found
Somos Miklós,unknown,,not_found
Baranyó Sándor,unknown,,not_found
Lovrits Kálmán,unknown,,not_found
Bujdosó Ernő,unknown,,not_found
Schiller Alfréd,unknown,,not_found
Brunner Erzsébet,unknown,,not_found
Vecsési Sándor,unknown,,not_found
Gerő Kázmér,unknown,,not_found
Schiller Alfréd Corvina Archivum,unknown,,not_found
Károly Attila,unknown,,not_found
Somogyi Győző,unknown,,not_found
Somogyi-Soma László,unknown,,not_found
Szerencsés János,unknown,,not_found
"Komjáthy Kálmán, Körmend",unknown,,not_found
Novotta Ferenc fotó,unknown,,not_found
Horváth Géza,unknown,,not_found
Halácsy Mária,unknown,,not_found
E. Szabó Ilona,unknown,,not_found
Andor Bajor,male,1927,matched
Nagy Gyula,unknown,,not_found
Vas István,male,1935,matched
"Bauer Sándor, fényképész",unknown,,not_found
Mithay Sándor,unknown,,not_found
Gábor Móric,unknown,,not_found
Tillay Ernő,unknown,,not_found
Θεοτοκόπουλος Δομήνικος,unknown,,not_found
Aertsen Pieter,unknown,,not_found
Λατράνος Σπ.,unknown,,not_found
Τσόκος Διονύσιος,unknown,,not_found
"Coecke van Aelst Pieter, εργαστήριο",unknown,,not_found
"Tintoretto Jacopo, εργαστήριο",unknown,,not_found
Άγνωστος ζωγράφος των Κάτω Χωρών,unknown,,not_found
Κουτούζης Νικόλαος,unknown,,not_found
"Veneziano Marco, απόδοση",unknown,,not_found
"Θεοδωρίδης, Αντώνιος",unknown,,not_found
Albertinelli Mariotto,unknown,,not_found
Noort Lambert Van,unknown,,not_found
Καντούνης Νικόλαος,unknown,,not_found
Fouquières Jacques,unknown,,not_found
Σχολή του Ter Borch Gerard,unknown,,not_found
Kneller Gottfried,unknown,,not_found
Brueghel Jan II,unknown,,not_found
Floris Gerritsz. van Schooten,unknown,,not_found
Soreau Isaac,unknown,,not_found
Linard Jacques,unknown,,not_found
Vinckboons David,unknown,,not_found
Meulen Adam Frans van der,unknown,,not_found
Giordano Luca,unknown,,not_found
[Coronelli],unknown,,not_found
Μόσχος Ιωάννης,unknown,,not_found
Storck Abraham,unknown,,not_found
Flamen Albert,unknown,,not_found
de Grave Josua,unknown,,not_found
Ολλανδική σχολή,unknown,,not_found
"Μυλωνάς , Παύλος",unknown,,not_found
"Χειμάρα - Μπεχράκη , Ελένη",unknown,,not_found
Janneck Franz-Christoph,unknown,,not_found
Καλοσγούρος Γ.,unknown,,not_found
Νταβής Νίκος,unknown,,not_found
Lagrenée Louis-Jean-François,unknown,,not_found
Kurzinger Franz,unknown,,not_found
Προσαλέντης Ι.,unknown,,not_found
Λύτρας Νικηφόρος,unknown,,not_found
Παυλίδης-Μινώτος Πέτρος,unknown,,not_found
Πιτζαμάνος Γεράσιμος,unknown,,not_found
